"No.","Time","Source","Destination","Protocol","Length","Info"
"174","130.055172","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"175","130.055591","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"176","130.109717","142.164.6.70","131.243.1.10","FTP","84","Request: CWD compressed.slip.rfc.ps.Z"
"177","130.110196","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104997 Ack=1734984877 Win=17490 Len=0"
"178","130.111994","131.243.1.10","142.164.6.70","FTP","101","Response: 550 compressed.slip.rfc.ps.Z: Not a directory"
"179","130.363682","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971909 Ack=364765284 Win=16432 Len=0"
"180","131.413389","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"181","131.413771","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"182","131.807791","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971935 Ack=364765314 Win=16402 Len=0"
"183","132.788602","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"184","132.788949","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
